rank,asin,name,ratings_count,rating,sale_price,image,product_url,category,brand,seller,availability_status,is_prime_y,is_aplus_page,video_count,parent_asin,five_star,four_star,three_star,two_star,one_star,ratings_count_zscore,sale_price_zscore,ratings_count_minmax,sale_price_minmax,estimated_revenue,quality_score,price_to_quality_ratio
1,B0CJM1GNFQ,"Amazon Fire TV Stick 4K with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free & live TV",41456.0,4.7,49.99,"https://images-na.ssl-images-amazon.com/images/I/417H5BZf2LL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/Amazon-Fire-TV-Stick-4K-streaming-device/dp/B0CJM1GNFQ/ref=zg_bs_g_amazon-devices_d_sccl_1/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,Amazon.com,1,True,False,10.0,B0CDR2MSVC,0.83,0.1,0.03,0.01,0.03,-0.07829874561132515,0.08367669477113365,0.05169670336248048,0.06674232309746328,2072385.4400000002,49.9723365150165,1.0003534652612889
2,B0B1N5FK48,"Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 3 camera system",24950.0,4.2,259.99,"https://images-na.ssl-images-amazon.com/images/I/41PtM0usvoL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/Blink-Outdoor-4th-Gen-3-Camera/dp/B0B1N5FK48/ref=zg_bs_g_amazon-devices_d_sccl_2/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Blink,Amazon.com,1,True,False,10.0,B0C32KN8DC,0.65,0.13,0.06,0.05,0.11,-0.27473300359266184,2.882135508226346,0.031113294791921268,0.3471161548731642,6486750.5,42.523610558254546,6.114015169145405
3,B08C1W5N87,"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",498544.0,4.7,39.99,"https://images-na.ssl-images-amazon.com/images/I/51TjJOTfslL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_bs_g_amazon-devices_d_sccl_3/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,Amazon.com,1,True,False,10.0,B08WJSHSLC,0.82,0.11,0.03,0.01,0.03,5.361404520605397,-0.04958324872673357,0.6216972520538515,0.05339118825100134,19936774.560000002,61.66141093507482,0.6485417604554442
4,B0BP9SNVH9,"Amazon Fire TV Stick 4K Max, our most powerful 4K streaming stick with Wi-Fi 6E support, 16GB Storage, Quad-Core Processor.",35230.0,4.6,59.99,"https://images-na.ssl-images-amazon.com/images/I/41P0qtzxWSL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/all-new-amazon-fire-tv-stick-4k-max/dp/B0BP9SNVH9/ref=zg_bs_g_amazon-devices_d_sccl_4/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,Amazon.com,1,True,False,10.0,B0CDR3P78V,0.8,0.11,0.03,0.01,0.04,-0.1523929955926533,0.2169366382690009,0.04393272046169885,0.08009345794392524,2113447.7,48.16053561682569,1.2456256815184068
5,B08SG2MS3V,"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",150354.0,4.2,59.99,"https://images-na.ssl-images-amazon.com/images/I/41te-uzWxDL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/Blink-Video-Doorbell/dp/B08SG2MS3V/ref=zg_bs_g_amazon-devices_d_sccl_5/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Blink,Amazon.com,1,True,False,10.0,B0BM2YG2K7,0.66,0.13,0.07,0.04,0.09,1.2176722846595824,0.2169366382690009,0.18749532365308738,0.08009345794392524,9019736.46,50.067168663121386,1.1981903830760776
6,B09TMN58KL,"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Black",61320.0,4.7,111.07,"https://images-na.ssl-images-amazon.com/images/I/51QCk82iGcL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/Kindle-Paperwhite-16-GB-adjustable/dp/B09TMN58KL/ref=zg_bs_g_amazon-devices_d_sccl_6/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,Unknown,1,False,False,10.0,B09F7TGV1H,0.85,0.08,0.03,0.01,0.03,0.1580983282128159,0.8976284296561067,0.0764676247150546,0.14829105473965284,6810812.399999999,51.812224911505254,2.1437025757860506
7,B09B8V1LZ3,"Amazon Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",127640.0,4.6,49.99,"https://images-na.ssl-images-amazon.com/images/I/518cRYanpbL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/All-New-release-Smart-speaker-Charcoal/dp/B09B8V1LZ3/ref=zg_bs_g_amazon-devices_d_sccl_7/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,Amazon.com,1,True,False,10.0,B0BF73CTQF,0.8,0.12,0.04,0.01,0.03,0.9473579907187075,0.08367669477113365,0.15917037864692707,0.06674232309746328,6380723.600000001,54.08209380852214,0.9243355143939099
8,B07X6C9RMF,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",292737.0,4.4,29.99,"https://images-na.ssl-images-amazon.com/images/I/31k4JysPQ5L._AC_UL300_SR300,200_.jpg",https://www.amazon.com/Blink-Mini-White-1Cam/dp/B07X6C9RMF/ref=zg_bs_g_amazon-devices_d_sccl_8/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Blink,Amazon.com,1,True,False,10.0,B0BWD4WGJB,0.71,0.14,0.07,0.03,0.06,2.9121408993546427,-0.18284319222460085,0.36505060430872366,0.04004005340453938,8779182.629999999,55.38294647605943,0.5415024282423088
9,B091G4YP57,"Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",71582.0,4.6,29.99,"https://images-na.ssl-images-amazon.com/images/I/41DTzx56EWL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/fire-tv-stick-lite-latest-alexa-voice-remote-lite/dp/B091G4YP57/ref=zg_bs_g_amazon-devices_d_sccl_9/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,Amazon.com,1,True,False,10.0,B09KWWZ67B,0.8,0.11,0.04,0.01,0.04,0.28022412219103454,-0.18284319222460085,0.08926460391965163,0.04004005340453938,2146744.1799999997,51.42161931511462,0.5832177282519939
10,B0BZWRSRWV,"All-new Ring Battery Doorbell — Now with 66% more coverage, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Satin Nickel",181.0,4.3,99.99,"https://images-na.ssl-images-amazon.com/images/I/61vE894jVGL._AC_UL300_SR300,200_.jpg",https://www.amazon.com/Ring-Battery-Doorbell-Head-to-Toe-Video-Satin-Nickel/dp/B0BZWRSRWV/ref=zg_bs_g_amazon-devices_d_sccl_10/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Ring,Amazon.com,1,True,False,10.0,B0DB7S5SP2,0.71,0.11,0.05,0.04,0.08,-0.5695033983545501,0.7499764122604697,0.00022571167764880759,0.13349799732977302,18098.19,22.377228754430217,4.468381723997172
