word,count
"('amazon', 'basic')",24
"('ice', 'maker')",23
"('amazon', 'fire')",19
"('stainless', 'steel')",18
"('iphone', 'pro')",17
"('renewed', 'apple')",16
"('fl', 'oz')",14
"('pro', 'max')",12
"('water', 'bottle')",12
"('count', 'pack')",12
"('usb', 'c')",11
"('bird', 'watching')",11
"('mac', 'x')",11
"('unlocked', 'renewed')",11
"('newest', 'model')",11
"('fire', 'tv')",11
"('tablet', 'newest')",10
"('apple', 'iphone')",10
"('amazon', 'exclusive')",9
"('guitar', 'string')",9
"('battery', 'life')",9
"('gift', 'woman')",9
"('birthday', 'gift')",9
"('live', 'tv')",9
"('year', 'old')",9
"('free', 'live')",9
"('fruit', 'fly')",9
"('home', 'kitchen')",8
"('ice', 'machine')",8
"('screen', 'protector')",8
"('disney', 'pin')",8
"('variety', 'pack')",8
"('tv', 'stick')",8
"('binoculars', 'adult')",8
"('light', 'trap')",8
"('baby', 'wipe')",8
"('made', 'usa')",7
"('may', 'vary')",7
"('oz', 'pack')",7
"('heavy', 'duty')",7
"('office', 'home')",7
"('trading', 'card')",7
"('voice', 'remote')",7
"('flying', 'insect')",7
"('hd', 'binoculars')",7
"('air', 'fryer')",7
"('xbox', 'series')",7
"('dark', 'web')",7
"('high', 'powered')",7
"('woman', 'men')",7
"('maker', 'countertop')",7
"('diaper', 'size')",7
"('apple', 'watch')",6
"('fire', 'hd')",6
"('countertop', 'ice')",6
"('capture', 'fruit')",6
"('roll', 'regular')",6
"('motion', 'detection')",6
"('zevo', 'flying')",6
"('coffee', 'pod')",6
"('gnat', 'housefly')",6
"('fly', 'gnat')",6
"('home', 'office')",6
"('regular', 'roll')",6
"('assorted', 'color')",6
"('packaging', 'may')",6
"('c', 'charger')",6
"('cat', 'litter')",6
"('binoculars', 'bird')",6
"('boy', 'girl')",6
"('web', 'monitoring')",6
"('fire', 'blanket')",6
"('led', 'light')",6
"('starter', 'kit')",6
"('phone', 'adapter')",5
"('mac', 'sierra')",5
"('mac', 'catalina')",5
"('portable', 'ice')",5
"('deadpool', 'wolverine')",5
"('watching', 'hunting')",5
"('maker', 'machine')",5
"('fly', 'trap')",5
"('power', 'adapter')",5
"('baby', 'diaper')",5
"('series', 'x')",5
"('light', 'vision')",5
"('software', 'device')",5
"('low', 'light')",5
"('pack', 'amazon')",5
"('adult', 'kid')",5
"('old', 'girl')",5
"('redeem', 'worldwide')",5
"('tax', 'software')",5
"('antivirus', 'software')",5
"('toilet', 'paper')",5
"('exclusive', 'virtual')",5
"('robux', 'redeem')",5
"('code', 'robux')",5
"('virtual', 'item')",5
"('item', 'online')",5
"('online', 'game')",5
"('gift', 'code')",5
"('game', 'code')",5
"('digital', 'gift')",5
"('code', 'robloxwindows')",5
"('acrylic', 'paint')",5
"('includes', 'exclusive')",5
"('hd', 'screen')",5
"('complete', 'set')",5
"('indoor', 'outdoor')",5
"('nugget', 'ice')",5
"('ceiling', 'fan')",5
"('iphone', 'charger')",5
"('case', 'friendly')",5
"('roast', 'coffee')",5
"('tempered', 'glass')",5
"('max', 'case')",5
"('roblox', 'digital')",5
"('worldwide', 'includes')",5
"('bed', 'sheet')",5
"('alexa', 'voice')",5
"('x', 'inch')",5
"('tv', 'alexa')",5
"('hd', 'video')",5
"('amazon', 'echo')",5
"('view', 'talk')",5
"('sheet', 'set')",5
"('live', 'view')",5
"('vacuum', 'insulated')",5
"('software', 'includes')",4
"('includes', 'antivirus')",4
"('joking', 'hazard')",4
"('doorbell', 'coverage')",4
"('antivirus', 'secure')",4
"('device', 'cybersecurity')",4
"('olive', 'oil')",4
"('secure', 'vpn')",4
"('hd', 'tablet')",4
"('medium', 'roast')",4
"('vpn', 'password')",4
"('cybersecurity', 'software')",4
"('black', 'amazon')",4
"('total', 'protection')",4
"('mcafee', 'total')",4
"('password', 'manager')",4
"('midnight', 'unlocked')",4
"('sierra', 'mac')",4
"('wiper', 'blade')",4
"('nortonwindows', 'mac')",4
"('apple', 'airpods')",4
"('black', 'unlocked')",4
"('digital', 'code')",4
"('auto', 'renewal')",4
"('device', 'auto')",4
"('wipe', 'unscented')",4
"('wipe', 'total')",4
"('air', 'filter')",4
"('bottle', 'straw')",4
"('manager', 'dark')",4
"('acoustic', 'guitar')",4
"('tennis', 'ball')",4
"('scoop', 'basket')",4
"('compact', 'binoculars')",4
"('echo', 'dot')",4
"('roku', 'streaming')",4
"('easy', 'use')",4
"('light', 'bulb')",4
"('pest', 'control')",4
"('stray', 'kid')",4
"('wireless', 'microphone')",4
"('fog', 'juice')",4
"('blaster', 'box')",4
"('comic', 'book')",4
"('vibrant', 'sound')",4
"('large', 'view')",4
"('view', 'binoculars')",4
"('hanging', 'strip')",4
"('kid', 'tablet')",4
"('insect', 'trap')",4
"('trap', 'indoors')",4
"('basket', 'scoop')",4
"('indoors', 'light')",4
"('ice', 'cube')",4
"('per', 'day')",4
"('trap', 'capture')",4
"('housefly', 'starter')",4
"('battery', 'gb')",4
"('base', 'cartridge')",4
"('parental', 'control')",4
"('content', 'parental')",4
"('model', 'age')",4
"('pack', 'wipe')",4
"('watch', 'series')",4
"('wet', 'cat')",4
"('toy', 'year')",4
"('charger', 'fast')",4
"('software', 'federal')",4
"('long', 'lasting')",4
"('chess', 'game')",4
"('ring', 'battery')",4
"('cat', 'food')",4
"('supply', 'count')",4
"('month', 'supply')",4
"('one', 'month')",4
"('iphone', 'ipad')",4
"('size', 'one')",4
"('battery', 'doorbell')",4
"('bluetooth', 'headphone')",4
"('compatible', 'magsafe')",4
"('iphone', 'iphone')",4
"('lens', 'protector')",4
"('river', 'good')",4
"('alert', 'release')",4
"('wall', 'charger')",4
"('coverage', 'video')",4
"('gift', 'girl')",4
"('exclusive', 'download')",4
"('talk', 'motion')",4
"('hanes', 'men')",4
"('download', 'intuitwindows')",4
"('detection', 'alert')",4
"('tax', 'return')",4
"('video', 'live')",4
"('kid', 'adult')",4
"('wipe', 'water')",4
"('waterproof', 'binoculars')",3
"('adapter', 'tripod')",3
"('paper', 'x')",3
"('fancy', 'feast')",3
"('printer', 'paper')",3
"('comfort', 'grip')",3
"('fogproof', 'shockproof')",3
"('picture', 'hanging')",3
"('steel', 'water')",3
"('waterproof', 'fogproof')",3
"('ecosmart', 'fleece')",3
"('airpods', 'pro')",3
"('water', 'filter')",3
"('charger', 'block')",3
"('washing', 'machine')",3
"('vortex', 'optic')",3
"('binoculars', 'hd')",3
"('carry', 'bag')",3
"('weight', 'loss')",3
"('hd', 'optical')",3
"('blink', 'video')",3
"('charger', 'usb')",3
"('optical', 'system')",3
"('charging', 'station')",3
"('mac', 'monterey')",3
"('earbuds', 'bluetooth')",3
"('fresh', 'scent')",3
"('adult', 'teen')",3
"('pack', 'pack')",3
"('pack', 'oz')",3
"('book', 'adult')",3
"('coloring', 'book')",3
"('cotton', 'swab')",3
"('release', 'bigger')",3
"('fog', 'fluid')",3
"('tumbler', 'lid')",3
"('hour', 'battery')",3
"('security', 'camera')",3
"('pack', 'card')",3
"('score', 'football')",3
"('bigger', 'vibrant')",3
"('string', 'guitar')",3
"('relaxation', 'cozy')",3
"('surge', 'protector')",3
"('type', 'c')",3
"('power', 'strip')",3
"('steel', 'vacuum')",3
"('multi', 'plug')",3
"('insulated', 'tumbler')",3
"('streaming', 'stick')",3
"('outlet', 'extender')",3
"('dot', 'gen')",3
"('cozy', 'space')",3
"('exam', 'glove')",3
"('empyrean', 'book')",3
"('food', 'variety')",3
"('fast', 'charging')",3
"('gen', 'release')",3
"('space', 'coloring')",3
"('fruit', 'loom')",3
"('clear', 'low')",3
"('unlimited', 'unconditional')",3
"('inch', 'x')",3
"('drawing', 'coloring')",3
"('xbox', 'one')",3
"('nintendo', 'switch')",3
"('remote', 'tv')",3
"('chime', 'app')",3
"('x', 'el')",3
"('app', 'alert')",3
"('el', 'capitan')",3
"('alert', 'alexa')",3
"('tv', 'control')",3
"('alexa', 'enabled')",3
"('enabled', 'wired')",3
"('wired', 'black')",3
"('fade', 'resistant')",3
"('trap', 'refill')",3
"('download', 'nortonwindows')",3
"('federal', 'state')",3
"('state', 'tax')",3
"('vpn', 'pc')",3
"('mouse', 'trap')",3
"('indoor', 'fly')",3
"('home', 'indoor')",3
"('return', 'amazon')",3
"('renewal', 'includes')",3
"('includes', 'vpn')",3
"('video', 'motion')",3
"('monitoring', 'download')",3
"('pc', 'cloud')",3
"('cloud', 'backup')",3
"('motion', 'chime')",3
"('backup', 'dark')",3
"('series', 'xbox')",3
"('extra', 'soft')",3
"('machine', 'fog')",3
"('protection', 'device')",3
"('video', 'doorbell')",3
"('cyanide', 'happiness')",3
"('gb', 'ram')",3
"('inch', 'pack')",3
"('ram', 'gb')",3
"('camera', 'lens')",3
"('mac', 'book')",3
"('book', 'pro')",3
"('queen', 'size')",3
"('monitoring', 'downloadmcafeewindows')",3
"('doorbell', 'audio')",3
"('intuitwindows', 'mac')",3
"('binoculars', 'clear')",3
"('hooded', 'sweatshirt')",3
"('adult', 'high')",3
"('compatible', 'iphone')",3
"('unconditional', 'warranty')",3
"('processor', 'gb')",3
"('screen', 'processor')",3
"('full', 'hd')",3
"('pro', 'inch')",3
"('plastic', 'paper')",3
"('party', 'game')",3
"('audio', 'hd')",3
"('phone', 'case')",3
"('comic', 'building')",3
"('max', 'inch')",3
"('art', 'craft')",3
"('vibrant', 'full')",3
"('gb', 'black')",3
"('protector', 'iphone')",3
"('flat', 'back')",3
"('model', 'built')",3
"('built', 'relaxation')",3
"('relaxation', 'vibrant')",3
"('fog', 'machine')",3
"('streaming', 'device')",3
"('glass', 'screen')",3
"('pack', 'packaging')",3
"('christmas', 'gift')",3
"('psychological', 'thriller')",3
"('band', 'renewed')",3
"('cube', 'ready')",3
"('ready', 'min')",3
"('sport', 'band')",3
"('maker', 'basket')",3
"('aluminum', 'case')",3
"('star', 'war')",3
"('engagement', 'gift')",3
"('oil', 'dispenser')",3
"('zero', 'sugar')",3
"('series', 'gps')",3
"('wall', 'hanging')",3
"('microphone', 'iphone')",3
"('oil', 'sprayer')",3
"('trap', 'trap')",3
"('battery', 'pack')",3
"('ultra', 'soft')",3
"('box', 'pack')",3
"('u', 'version')",3
"('stuffer', 'gift')",3
"('upper', 'deck')",3
"('wolverine', 'combo')",3
"('water', 'based')",3
"('samsung', 'galaxy')",3
"('disposable', 'baby')",3
"('ac', 'furnace')",3
"('high', 'protein')",3
"('bpa', 'free')",3
"('soy', 'candle')",3
"('furnace', 'air')",3
"('phone', 'holder')",3
"('filter', 'merv')",3
"('drinking', 'water')",3
"('merv', 'mpr')",3
"('insulated', 'water')",3
"('ounce', 'pack')",3
"('magnetic', 'chess')",3
"('work', 'alexa')",3
"('trash', 'bag')",3
"('reed', 'diffuser')",3
"('keurig', 'brewer')",3
"('water', 'decor')",3
"('sweet', 'water')",3
"('lid', 'straw')",3
"('single', 'dad')",3
"('tool', 'egg')",3
"('sensitive', 'baby')",3
"('stocking', 'stuffer')",3
"('smart', 'security')",3
"('capsule', 'vertuo')",3
"('ultra', 'hd')",3
"('roll', 'sheet')",3
"('kitchen', 'office')",3
"('nespresso', 'capsule')",3
"('football', 'card')",3
"('car', 'truck')",3
"('value', 'box')",3
"('size', 'lb')",3
"('charging', 'case')",3
"('helpful', 'routine')",3
"('windshield', 'wiper')",3
"('sound', 'helpful')",3
"('sheet', 'per')",3
"('bullet', 'ice')",3
"('hd', 'digital')",3
"('factory', 'sealed')",3
"('baseball', 'complete')",3
"('per', 'roll')",3
"('box', 'topps')",3
"('mini', 'fridge')",3
"('high', 'output')",3
"('watt', 'machine')",3
"('size', 'diaper')",3
"('huggies', 'size')",3
"('electric', 'guitar')",3
"('thermometer', 'cooking')",3
"('car', 'accessory')",3
"('amazon', 'brand')",3
"('white', 'amazon')",3
"('ice', 'scoop')",3
"('routine', 'alexa')",3
"('machine', 'ice')",3
"('apple', 'ipad')",3
"('instant', 'read')",3
"('girl', 'boy')",3
"('paper', 'towel')",3
"('min', 'ice')",3
"('meat', 'thermometer')",3
"('pod', 'brew')",3
"('honest', 'company')",3
"('party', 'favor')",3
"('space', 'gray')",3
"('lapis', 'lazuli')",2
"('smoothie', 'lilac')",2
"('sheet', 'woman')",2
"('tea', 'coffee')",2
"('sensitive', 'skin')",2
"('hypoallergenic', 'sensitive')",2
"('hypoallergenic', 'unscented')",2
"('unscented', 'hypoallergenic')",2
"('deluxe', 'antivirus')",2
"('monterey', 'norton')",2
"('diaper', 'pampers')",2
"('filter', 'pack')",2
"('pack', 'actual')",2
"('company', 'clean')",2
"('coffee', 'smoothie')",2
"('lp', 'amazon')",2
"('norton', 'deluxe')",2
"('actual', 'size')",2
"('water', 'iced')",2
"('refill', 'pack')",2
"('clean', 'conscious')",2
"('iced', 'tea')",2
"('pack', 'screen')",2
"('business', 'tax')",2
"('interactive', 'toy')",2
"('privacy', 'screen')",2
"('c', 'charging')",2
"('dog', 'treat')",2
"('shower', 'curtain')",2
"('battery', 'power')",2
"('port', 'usb')",2
"('candy', 'halloween')",2
"('halloween', 'handout')",2
"('handout', 'toy')",2
"('toy', 'party')",2
"('preschool', 'toy')",2
"('toy', 'age')",2
"('block', 'iphone')",2
"('age', 'amazon')",2
"('toy', 'girl')",2
"('pack', 'iphone')",2
"('wired', 'ear')",2
"('remote', 'control')",2
"('dog', 'cat')",2
"('wireless', 'earbuds')",2
"('truck', 'suv')",2
"('personalized', 'spatial')",2
"('spatial', 'audio')",2
"('glow', 'dark')",2
"('easy', 'care')",2
"('amber', 'scent')",2
"('odor', 'eliminator')",2
"('air', 'freshener')",2
"('playing', 'card')",2
"('aa', 'battery')",2
"('non', 'candy')",2
"('modeling', 'compound')",2
"('motion', 'picture')",2
"('glass', 'case')",2
"('case', 'compatible')",2
"('insulated', 'stainless')",2
"('book', 'light')",2
"('magsafe', 'shockproof')",2
"('protection', 'magnetic')",2
"('light', 'reading')",2
"('case', 'iphone')",2
"('mat', 'car')",2
"('medium', 'large')",2
"('freesip', 'insulated')",2
"('floor', 'mat')",2
"('emergency', 'fire')",2
"('owala', 'freesip')",2
"('hotel', 'luxury')",2
"('ailun', 'pack')",2
"('glass', 'film')",2
"('n', 'sweet')",2
"('blanket', 'home')",2
"('tire', 'valve')",2
"('pack', 'camera')",2
"('protector', 'installation')",2
"('installation', 'frame')",2
"('frame', 'sensor')",2
"('sensor', 'protection')",2
"('protection', 'dynamic')",2
"('dynamic', 'island')",2
"('island', 'compatible')",2
"('compatible', 'case')",2
"('toy', 'boy')",2
"('friendly', 'tempered')",2
"('deep', 'pocket')",2
"('nfl', 'trading')",2
"('short', 'n')",2
"('diaper', 'little')",2
"('portable', 'handheld')",2
"('maximum', 'strength')",2
"('wireless', 'remote')",2
"('stanley', 'quencher')",2
"('vitamin', 'c')",2
"('topps', 'series')",2
"('tripod', 'tripod')",2
"('cruelty', 'free')",2
"('retail', 'value')",2
"('franklin', 'sport')",2
"('super', 'bright')",2
"('box', 'panini')",2
"('panini', 'donruss')",2
"('theater', 'concert')",2
"('donruss', 'optic')",2
"('vision', 'monoculars')",2
"('monoculars', 'adult')",2
"('hunting', 'hiking')",2
"('hiking', 'camping')",2
"('camping', 'wildlife')",2
"('fat', 'pack')",2
"('pack', 'psa')",2
"('skin', 'care')",2
"('fine', 'line')",2
"('shockproof', 'included')",2
"('included', 'glasspak')",2
"('glasspak', 'unlimited')",2
"('plus', 'led')",2
"('baseball', 'card')",2
"('quencher', 'flowstate')",2
"('limited', 'edition')",2
"('football', 'nfl')",2
"('card', 'blaster')",2
"('panini', 'score')",2
"('topps', 'baseball')",2
"('ice', 'pack')",2
"('set', 'baseball')",2
"('razor', 'woman')",2
"('face', 'razor')",2
"('teen', 'featuring')",2
"('baseball', 'factory')",2
"('cozy', 'hygge')",2
"('card', 'old')",2
"('camping', 'emergency')",2
"('flowstate', 'stainless')",2
"('hear', 'story')",2
"('hair', 'remover')",2
"('old', 'sealed')",2
"('sealed', 'wax')",2
"('made', 'natural')",2
"('super', 'cute')",2
"('motion', 'sensor')",2
"('wax', 'pack')",2
"('pack', 'perfect')",2
"('led', 'rechargeable')",2
"('perfect', 'new')",2
"('new', 'collector')",2
"('makeup', 'remover')",2
"('mega', 'box')",2
"('shea', 'butter')",2
"('lb', 'count')",2
"('halloween', 'christmas')",2
"('potty', 'training')",2
"('straw', 'water')",2
"('fragrance', 'free')",2
"('replacement', 'filter')",2
"('certified', 'reduce')",2
"('reduce', 'lead')",2
"('silicone', 'nipple')",2
"('x', 'mcafee')",2
"('instant', 'download')",2
"('rechargeable', 'battery')",2
"('excel', 'powerpoint')",2
"('filter', 'pitcher')",2
"('refrigerator', 'water')",2
"('pack', 'white')",2
"('word', 'excel')",2
"('straw', 'sport')",2
"('size', 'count')",2
"('sport', 'travel')",2
"('travel', 'dark')",2
"('rise', 'fall')",2
"('wipe', 'pack')",2
"('fall', 'midwest')",2
