word,count
"('tablet', 'newest', 'model')",10
"('unlocked', 'renewed', 'apple')",10
"('iphone', 'pro', 'max')",10
"('renewed', 'apple', 'iphone')",9
"('free', 'live', 'tv')",9
"('amazon', 'fire', 'tv')",8
"('fire', 'tv', 'stick')",8
"('ice', 'maker', 'countertop')",7
"('zevo', 'flying', 'insect')",6
"('fruit', 'fly', 'gnat')",6
"('capture', 'fruit', 'fly')",6
"('countertop', 'ice', 'maker')",6
"('dark', 'web', 'monitoring')",6
"('roll', 'regular', 'roll')",6
"('binoculars', 'bird', 'watching')",6
"('fly', 'gnat', 'housefly')",6
"('packaging', 'may', 'vary')",6
"('amazon', 'fire', 'hd')",6
"('exclusive', 'virtual', 'item')",5
"('digital', 'gift', 'code')",5
"('gift', 'code', 'robux')",5
"('roblox', 'digital', 'gift')",5
"('code', 'robux', 'redeem')",5
"('robux', 'redeem', 'worldwide')",5
"('worldwide', 'includes', 'exclusive')",5
"('includes', 'exclusive', 'virtual')",5
"('pro', 'max', 'case')",5
"('virtual', 'item', 'online')",5
"('item', 'online', 'game')",5
"('online', 'game', 'code')",5
"('game', 'code', 'robloxwindows')",5
"('tv', 'alexa', 'voice')",5
"('usb', 'c', 'charger')",5
"('low', 'light', 'vision')",5
"('nugget', 'ice', 'maker')",5
"('fl', 'oz', 'pack')",5
"('year', 'old', 'girl')",5
"('bird', 'watching', 'hunting')",5
"('alexa', 'voice', 'remote')",5
"('redeem', 'worldwide', 'includes')",5
"('antivirus', 'software', 'device')",5
"('live', 'view', 'talk')",5
"('fire', 'hd', 'tablet')",4
"('detection', 'alert', 'release')",4
"('motion', 'detection', 'alert')",4
"('talk', 'motion', 'detection')",4
"('view', 'talk', 'motion')",4
"('video', 'live', 'view')",4
"('coverage', 'video', 'live')",4
"('doorbell', 'coverage', 'video')",4
"('battery', 'doorbell', 'coverage')",4
"('live', 'tv', 'alexa')",4
"('acoustic', 'guitar', 'string')",4
"('ice', 'maker', 'machine')",4
"('flying', 'insect', 'trap')",4
"('insect', 'trap', 'indoors')",4
"('trap', 'indoors', 'light')",4
"('indoors', 'light', 'trap')",4
"('light', 'trap', 'capture')",4
"('trap', 'capture', 'fruit')",4
"('gnat', 'housefly', 'starter')",4
"('ring', 'battery', 'doorbell')",4
"('software', 'device', 'auto')",4
"('water', 'bottle', 'straw')",4
"('device', 'auto', 'renewal')",4
"('hd', 'binoculars', 'adult')",4
"('midnight', 'unlocked', 'renewed')",4
"('large', 'view', 'binoculars')",4
"('toy', 'year', 'old')",4
"('black', 'unlocked', 'renewed')",4
"('manager', 'dark', 'web')",4
"('password', 'manager', 'dark')",4
"('vpn', 'password', 'manager')",4
"('secure', 'vpn', 'password')",4
"('antivirus', 'secure', 'vpn')",4
"('includes', 'antivirus', 'secure')",4
"('software', 'includes', 'antivirus')",4
"('cybersecurity', 'software', 'includes')",4
"('device', 'cybersecurity', 'software')",4
"('mcafee', 'total', 'protection')",4
"('wet', 'cat', 'food')",4
"('tax', 'software', 'federal')",4
"('xbox', 'series', 'x')",4
