rank,asin,name,ratings_count,rating,sale_price,image,is_prime,product_url,category
1,B0CJM1GNFQ,"Amazon Fire TV Stick 4K with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free & live TV",41456.0,4.7,$49.99,"https://images-na.ssl-images-amazon.com/images/I/417H5BZf2LL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-Fire-TV-Stick-4K-streaming-device/dp/B0CJM1GNFQ/ref=zg_bs_g_amazon-devices_d_sccl_1/130-2250045-4063114?psc=1,Amazon Devices & Accessories
2,B0B1N5FK48,"Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 3 camera system",24950.0,4.2,$259.99,"https://images-na.ssl-images-amazon.com/images/I/41PtM0usvoL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Blink-Outdoor-4th-Gen-3-Camera/dp/B0B1N5FK48/ref=zg_bs_g_amazon-devices_d_sccl_2/130-2250045-4063114?psc=1,Amazon Devices & Accessories
3,B08C1W5N87,"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",498544.0,4.7,$39.99,"https://images-na.ssl-images-amazon.com/images/I/51TjJOTfslL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_bs_g_amazon-devices_d_sccl_3/130-2250045-4063114?psc=1,Amazon Devices & Accessories
4,B0BP9SNVH9,"Amazon Fire TV Stick 4K Max, our most powerful 4K streaming stick with Wi-Fi 6E support, 16GB Storage, Quad-Core Processor.",35230.0,4.6,$59.99,"https://images-na.ssl-images-amazon.com/images/I/41P0qtzxWSL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/all-new-amazon-fire-tv-stick-4k-max/dp/B0BP9SNVH9/ref=zg_bs_g_amazon-devices_d_sccl_4/130-2250045-4063114?psc=1,Amazon Devices & Accessories
5,B08SG2MS3V,"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",150354.0,4.2,$59.99,"https://images-na.ssl-images-amazon.com/images/I/41te-uzWxDL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Blink-Video-Doorbell/dp/B08SG2MS3V/ref=zg_bs_g_amazon-devices_d_sccl_5/130-2250045-4063114?psc=1,Amazon Devices & Accessories
6,B09TMN58KL,"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Black",61320.0,4.7,,"https://images-na.ssl-images-amazon.com/images/I/51QCk82iGcL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Kindle-Paperwhite-16-GB-adjustable/dp/B09TMN58KL/ref=zg_bs_g_amazon-devices_d_sccl_6/130-2250045-4063114?psc=1,Amazon Devices & Accessories
7,B09B8V1LZ3,"Amazon Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",127640.0,4.6,$49.99,"https://images-na.ssl-images-amazon.com/images/I/518cRYanpbL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/All-New-release-Smart-speaker-Charcoal/dp/B09B8V1LZ3/ref=zg_bs_g_amazon-devices_d_sccl_7/130-2250045-4063114?psc=1,Amazon Devices & Accessories
8,B07X6C9RMF,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",292737.0,4.4,$29.99,"https://images-na.ssl-images-amazon.com/images/I/31k4JysPQ5L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Blink-Mini-White-1Cam/dp/B07X6C9RMF/ref=zg_bs_g_amazon-devices_d_sccl_8/130-2250045-4063114?psc=1,Amazon Devices & Accessories
9,B091G4YP57,"Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",71582.0,4.6,$29.99,"https://images-na.ssl-images-amazon.com/images/I/41DTzx56EWL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/fire-tv-stick-lite-latest-alexa-voice-remote-lite/dp/B091G4YP57/ref=zg_bs_g_amazon-devices_d_sccl_9/130-2250045-4063114?psc=1,Amazon Devices & Accessories
10,B0BZWRSRWV,"All-new Ring Battery Doorbell — Now with 66% more coverage, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Satin Nickel",181.0,4.3,$99.99,"https://images-na.ssl-images-amazon.com/images/I/61vE894jVGL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Ring-Battery-Doorbell-Head-to-Toe-Video-Satin-Nickel/dp/B0BZWRSRWV/ref=zg_bs_g_amazon-devices_d_sccl_10/130-2250045-4063114?psc=1,Amazon Devices & Accessories
11,B0BZWRLRLK,"All-new Ring Battery Doorbell — Now with 66% more coverage, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Venetian Bronze",132.0,4.3,,"https://images-na.ssl-images-amazon.com/images/I/61TLneKHd+L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Ring-Battery-Doorbell-Head-to-Toe-Video-Venetian-Bronze/dp/B0BZWRLRLK/ref=zg_bs_g_amazon-devices_d_sccl_11/130-2250045-4063114?psc=1,Amazon Devices & Accessories
12,B089DR29T6,"Amazon Smart Plug | Works with Alexa | Simple setup, endless possibilities",564616.0,4.7,$24.99,"https://images-na.ssl-images-amazon.com/images/I/411tekLceiL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-smart-plug-works-with-Alexa/dp/B089DR29T6/ref=zg_bs_g_amazon-devices_d_sccl_12/130-2250045-4063114?psc=1,Amazon Devices & Accessories
13,B0BFC7WQ6R,"All-new Amazon Echo Spot (2024 release), Smart alarm clock with vibrant sound + Alexa, no visual ads, Black",11009.0,4.6,$79.99,"https://images-na.ssl-images-amazon.com/images/I/61TuF2ElKgL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/All-new-Amazon-Echo-Spot-2024-release-Smart-alarm-clock-with-vibrant-sound-Alexa-Black/dp/B0BFC7WQ6R/ref=zg_bs_g_amazon-devices_d_sccl_13/130-2250045-4063114?psc=1,Amazon Devices & Accessories
14,B0BWWZXWPL,"Blink Mini 2 — Plug-in smart security camera, HD night view in color, built-in spotlight, two-way audio, motion detection, Works with Alexa (White)",2920.0,4.4,$39.99,"https://images-na.ssl-images-amazon.com/images/I/31tp0vzZwRL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Blink-Mini-2-Camera-White/dp/B0BWWZXWPL/ref=zg_bs_g_amazon-devices_d_sccl_14/130-2250045-4063114?psc=1,Amazon Devices & Accessories
15,B0B6GLQJMV,"Ring Indoor Cam (newest model) | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover | White",21249.0,4.7,$59.99,"https://images-na.ssl-images-amazon.com/images/I/51keHnu-7YL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/introducing-the-all-new-Ring-Indoor-Cam/dp/B0B6GLQJMV/ref=zg_bs_g_amazon-devices_d_sccl_15/130-2250045-4063114?psc=1,Amazon Devices & Accessories
16,B01I0IGFKC,"Amazon 9W Official OEM USB Charger and Power Adapter for Fire Tablets, Kindle eReaders, and Echo Dot",15205.0,4.7,$19.99,"https://images-na.ssl-images-amazon.com/images/I/81hss7SMd7L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-Official-Charger-Adapter-eReaders/dp/B01I0IGFKC/ref=zg_bs_g_amazon-devices_d_sccl_16/130-2250045-4063114?psc=1,Amazon Devices & Accessories
17,B09WNK39JN,"Amazon Echo Pop | Alexa fits in anywhere: bedroom, living room, bathroom, office, and small spaces | Charcoal",65937.0,4.7,$39.99,"https://images-na.ssl-images-amazon.com/images/I/61V5FRUgX8L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-Echo-Alexa-fits-anywhere/dp/B09WNK39JN/ref=zg_bs_g_amazon-devices_d_sccl_17/130-2250045-4063114?psc=1,Amazon Devices & Accessories
18,B0BTTVRWPR,INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24),13341.0,4.4,$189.99,"https://images-na.ssl-images-amazon.com/images/I/81DM+ZzL8rL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/INSIGNIA-All-New-50-inch-Class-NS-50F301NA24/dp/B0BTTVRWPR/ref=zg_bs_g_amazon-devices_d_sccl_18/130-2250045-4063114?psc=1,Amazon Devices & Accessories
19,B09B94RL1R,"Amazon Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Glacier White",127640.0,4.6,$49.99,"https://images-na.ssl-images-amazon.com/images/I/41F4LmKQeoL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-release-vibrant-helpful-routines/dp/B09B94RL1R/ref=zg_bs_g_amazon-devices_d_sccl_19/130-2250045-4063114?psc=1,Amazon Devices & Accessories
20,B09L45VFCN,Ring Chime,38840.0,4.6,$34.99,"https://images-na.ssl-images-amazon.com/images/I/61OIHg12JiL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Ring-Chime/dp/B09L45VFCN/ref=zg_bs_g_amazon-devices_d_sccl_20/130-2250045-4063114?psc=1,Amazon Devices & Accessories
1,B08PP5MSVB,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",26191.0,4.1,$298.00,"https://images-na.ssl-images-amazon.com/images/I/51fYXSnSu9L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=zg_bs_g_amazon-renewed_d_sccl_1/135-6381759-7920809?psc=1,Amazon Renewed
