asin,name,brand,price,regular_price,total_reviews,average_rating,seller,seller_url,availability_status,availability_quantity,shipping_charge,is_prime,author,available_book_formats,is_aplus_page,small_description,full_description,images,video_count,productCategory,url,attributes,size,color,model,product_information,parent_asin,variation_asin,product_variations,product_condition,frequently_bought_together,product_badges,five_star,four_star,three_star,two_star,one_star
B0DFKG6SP2,Beautifully Broken,,$12.99,$13.98,19,3.7,Amazon.com,,In Stock,,,True,Jelly Roll (Artist),"[{'Streaming': {'asin': 'B0DFKG6SP2', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0DFKG6SP2', 'price': '$4.99'}}, {'Audio CD': {'asin': 'B0DFKG6SP2', 'price': '$12.99'}}, {'Vinyl': {'asin': 'B0DFKG6SP2', 'price': '$23.98'}}]",True,,,"['https://m.media-amazon.com/images/I/71XwsUoPcFL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/814zGchFfGL._SL1500_.jpg']",0,CDs & Vinyl > Country,https://www.amazon.com/-/dp/B0DFKG6SP2?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Audio CD,,,,"{'Language': 'English', 'Product Dimensions': '5.59 x 4.88 x 0.39 inches; 2.29 ounces', 'Manufacturer': 'Republic Records', 'Original Release Date': '2024', 'Date First Available': 'August 29, 2024', 'Label': 'Republic Records', 'ASIN': 'B0DFKG6SP2', 'Country of Origin': 'USA', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#1 in CDs & Vinyl , #1 in Country (CDs & Vinyl)'}",B0DFKG6SP2,[],{},new,"[{'title': 'Whitsitt Chapel', 'link': 'https://www.amazon.com/Whitsitt-Chapel-Jelly-Roll/dp/B0BYL8ZN26/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=bjb5T&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=GE0VFVGCZWQJQ52VXD5P&pd_rd_wg=em2ky&pd_rd_r=1d518e12-4677-4982-9d00-2e55e8188d95&pd_rd_i=B0BYL8ZN26&psc=1', 'price': '$10.42'}, {'title': 'Ballads of the Broken', 'link': 'https://www.amazon.com/Ballads-Broken-Jelly-Roll/dp/B09HLH665V/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=bjb5T&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=GE0VFVGCZWQJQ52VXD5P&pd_rd_wg=em2ky&pd_rd_r=1d518e12-4677-4982-9d00-2e55e8188d95&pd_rd_i=B09HLH665V&psc=1', 'price': '$9.47'}]",[],51%,11%,12%,7%,17%
B0D6XF8VMG,Moon Music,Coldplay,$7.99,,95,4.3,Amazon.com,,In Stock,,,True,Coldplay,"[{'Streaming': {'asin': 'B0D6XF8VMG', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0D6XF8VMG', 'price': '$4.99'}}, {'Audio CD': {'asin': 'B0D6XF8VMG', 'price': '$7.99'}}, {'Vinyl': {'asin': 'B0D6XF8VMG', 'price': '$39.99'}}]",True,,,['https://m.media-amazon.com/images/I/51u751-zQhL._SL1100_.jpg'],0,CDs & Vinyl > Pop,https://www.amazon.com/-/dp/B0D6XF8VMG?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Audio CD,,,,"{'Language': 'English', 'Product Dimensions': '0.2 x 4.92 x 5.51 inches; 2.05 ounces', 'Manufacturer': 'Atlantic', 'Original Release Date': '2024', 'Date First Available': 'June 17, 2024', 'Label': 'Atlantic', 'ASIN': 'B0D6XF8VMG', 'Country of Origin': 'USA', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#4 in CDs & Vinyl , #2 in Pop (CDs & Vinyl)'}",B0D6XF8VMG,[],{},new,"[{'title': 'Music Of The Spheres', 'link': 'https://www.amazon.com/Music-Spheres-Coldplay/dp/B099BXN84R/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=Iabxb&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=EE18KE8AKK4ZBRRKVDC6&pd_rd_wg=aiYhq&pd_rd_r=65601849-d877-4bec-88df-653083e5e217&pd_rd_i=B099BXN84R&psc=1', 'price': '$15.99'}, {'title': 'Everyday Life', 'link': 'https://www.amazon.com/Everyday-Life-Coldplay/dp/B07YMDZZW8/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=Iabxb&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=EE18KE8AKK4ZBRRKVDC6&pd_rd_wg=aiYhq&pd_rd_r=65601849-d877-4bec-88df-653083e5e217&pd_rd_i=B07YMDZZW8&psc=1', 'price': '$8.00'}]","[{'badge': ""Amazon's Choice"", 'badge_text': None}]",73%,7%,5%,4%,12%
B0CHL954N3,The Rise And Fall Of A Midwest Princess,,$32.92,,552,4.8,Amazon.com,,In Stock,,,True,Chappell Roan (Artist),"[{'Streaming': {'asin': 'B0CHL954N3', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0CHL954N3', 'price': '$10.49'}}, {'Audio CD': {'asin': 'B0CHL954N3', 'price': '$11.98'}}, {'Vinyl': {'asin': 'B0CHL954N3', 'price': '$32.92'}}]",True,,,['https://m.media-amazon.com/images/I/71SkcQwLUGL._SL1500_.jpg'],1,CDs & Vinyl > Pop,https://www.amazon.com/-/dp/B0CHL954N3?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Vinyl,,,,"{'Language': 'English', 'Package Dimensions': '15.04 x 12.56 x 0.91 inches; 1.43 Pounds', 'Manufacturer': 'Island', 'Date First Available': 'September 9, 2023', 'Label': 'Island', 'ASIN': 'B0CHL954N3', 'Country of Origin': 'USA', 'Number of discs': '2', 'Amazon Best Sellers Rank': '#2 in CDs & Vinyl , #1 in Pop (CDs & Vinyl)'}",B0CHL954N3,[],{},new,"[{'title': 'Stick Season[2 LP]', 'link': 'https://www.amazon.com/Stick-Season-LP-Noah-Kahan/dp/B0C1SWKV9J/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=D3J91&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=4JGBSYY28KJE86JWMWT8&pd_rd_wg=xIFtq&pd_rd_r=759a7047-dd0c-4e5b-aacb-e48ba724af68&pd_rd_i=B0C1SWKV9J&psc=1', 'price': '$38.00'}, {'title': ""I've Tried Everything But Therapy Part 1"", 'link': 'https://www.amazon.com/Ive-Tried-Everything-Therapy-Part/dp/B0C8XWQ78X/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=D3J91&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=4JGBSYY28KJE86JWMWT8&pd_rd_wg=xIFtq&pd_rd_r=759a7047-dd0c-4e5b-aacb-e48ba724af68&pd_rd_i=B0C8XWQ78X&psc=1', 'price': '$23.99'}]","[{'badge': ""Amazon's Choice"", 'badge_text': None}]",89%,6%,2%,2%,2%
B0CFZPB8T2,The Rise And Fall Of A Midwest Princess,,$11.98,,552,4.8,Amazon.com,,In Stock,,,True,Chappell Roan (Artist),"[{'Streaming': {'asin': 'B0CFZPB8T2', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0CFZPB8T2', 'price': '$10.49'}}, {'Audio CD': {'asin': 'B0CFZPB8T2', 'price': '$11.98'}}, {'Vinyl': {'asin': 'B0CFZPB8T2', 'price': '$32.92'}}]",True,,,"['https://m.media-amazon.com/images/I/71JS2eJJW-L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71JS2eJJW-L._SL1500_.jpg']",1,CDs & Vinyl > Pop,https://www.amazon.com/-/dp/B0CFZPB8T2?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Audio CD,,,,"{'Language': 'English', 'Product Dimensions': '5.51 x 4.92 x 0.24 inches; 1.76 ounces', 'Manufacturer': 'Island', 'Original Release Date': '2023', 'Date First Available': 'August 22, 2023', 'Label': 'Island', 'ASIN': 'B0CFZPB8T2', 'Country of Origin': 'USA', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#7 in CDs & Vinyl , #5 in Pop (CDs & Vinyl)'}",B0CFZPB8T2,[],{},new,"[{'title': ""Short n' Sweet"", 'link': 'https://www.amazon.com/Short-n-Sweet-Sabrina-Carpenter/dp/B0D6X4LTDV/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=haoRd&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=6JT5FX7ZSYWWD1CTJ0KB&pd_rd_wg=PkTCW&pd_rd_r=114302a4-f5c9-489a-96ed-2fcd81d82f34&pd_rd_i=B0D6X4LTDV&psc=1', 'price': '$12.97'}, {'title': 'BRAT', 'link': 'https://www.amazon.com/BRAT-Charli-XCX/dp/B0CZ9TV8D6/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=haoRd&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=6JT5FX7ZSYWWD1CTJ0KB&pd_rd_wg=PkTCW&pd_rd_r=114302a4-f5c9-489a-96ed-2fcd81d82f34&pd_rd_i=B0CZ9TV8D6&psc=1', 'price': '$10.98'}]","[{'badge': ""Amazon's Choice"", 'badge_text': None}]",89%,6%,2%,2%,2%
B0BYL8ZN26,Whitsitt Chapel,Jelly Roll,$10.42,$13.98,"3,439",4.8,Amazon.com,,In Stock,,,True,Jelly Roll,"[{'Streaming': {'asin': 'B0BYL8ZN26', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0BYL8ZN26', 'price': '$9.49'}}, {'Audio CD': {'asin': 'B0BYL8ZN26', 'price': '$10.42'}}, {'Vinyl': {'asin': 'B0BYL8ZN26', 'price': '$21.98'}}]",True,,,['https://m.media-amazon.com/images/I/81SewUFJBsL._SL1500_.jpg'],1,CDs & Vinyl > Country,https://www.amazon.com/-/dp/B0BYL8ZN26?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Audio CD,,,,"{'Language': 'English', 'Product Dimensions': '0.43 x 5 x 5.63 inches; 3.84 ounces', 'Manufacturer': 'Broken Bow Records', 'Original Release Date': '2023', 'Date First Available': 'March 16, 2023', 'Label': 'Broken Bow Records', 'ASIN': 'B0BYL8ZN26', 'Country of Origin': 'USA', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#8 in CDs & Vinyl , #2 in Country (CDs & Vinyl)'}",B0BYL8ZN26,[],{},new,"[{'title': 'Ballads of the Broken', 'link': 'https://www.amazon.com/Ballads-Broken-Jelly-Roll/dp/B09HLH665V/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=rDKGs&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=M1SZB37RREGYTDC6EV6V&pd_rd_wg=avp2C&pd_rd_r=c68d012a-e050-453f-8956-38202b97529a&pd_rd_i=B09HLH665V&psc=1', 'price': '$9.47'}, {'title': 'Beautifully Broken', 'link': 'https://www.amazon.com/Beautifully-Broken-Jelly-Roll/dp/B0DFKG6SP2/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=rDKGs&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=M1SZB37RREGYTDC6EV6V&pd_rd_wg=avp2C&pd_rd_r=c68d012a-e050-453f-8956-38202b97529a&pd_rd_i=B0DFKG6SP2&psc=1', 'price': '$12.99'}]","[{'badge': ""Amazon's Choice"", 'badge_text': None}]",90%,6%,2%,1%,1%
B08WHNTHKY,Short n' Sweet [Lapis Lazuli LP] [Amazon Exclusive],Sabrina Carpenter,$37.99,,151,3.5,Amazon.com,,In Stock,,,True,Sabrina Carpenter,"[{'Vinyl': {'asin': 'B08WHNTHKY', 'price': '$37.99'}}]",True,,,"['https://m.media-amazon.com/images/I/61l69w1HWmL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/81K8DweIzRL._SL1500_.jpg']",0,CDs & Vinyl > Pop,https://www.amazon.com/-/dp/B08WHNTHKY?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Vinyl,,,,"{'Language': 'English', 'Product Dimensions': '0.28 x 12.36 x 12.48 inches; 11.64 ounces', 'Manufacturer': 'Island Records', 'Date First Available': 'June 6, 2024', 'Label': 'Island Records', 'ASIN': 'B08WHNTHKY', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#5 in CDs & Vinyl , #3 in Pop (CDs & Vinyl)'}",B08WHNTHKY,[],{},new,"[{'title': 'The Rise And Fall Of A Midwest Princess', 'link': 'https://www.amazon.com/Rise-Fall-Midwest-Princess-LP/dp/B0CHL954N3/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=OCs7G&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=HHAHRV3WDVF77PGRHAZ1&pd_rd_wg=ztnz0&pd_rd_r=e927fd20-10a6-483c-a1b3-cd5ead46274d&pd_rd_i=B0CHL954N3&psc=1', 'price': '$32.92'}, {'title': 'emails i can’t send[Bone LP]', 'link': 'https://www.amazon.com/emails-cant-send-Bone-LP/dp/B0BJ966SV7/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=OCs7G&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=HHAHRV3WDVF77PGRHAZ1&pd_rd_wg=ztnz0&pd_rd_r=e927fd20-10a6-483c-a1b3-cd5ead46274d&pd_rd_i=B0BJ966SV7&psc=1', 'price': '$25.99'}]",[],50%,8%,10%,9%,24%
B0D26B164V,Luck and Strange,David Gilmour,$14.98,,925,4.6,Amazon.com,,In Stock,,,True,David Gilmour,"[{'Streaming': {'asin': 'B0D26B164V', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0D26B164V', 'price': '$11.99'}}, {'Audio CD': {'asin': 'B0D26B164V', 'price': '$14.98'}}, {'Vinyl': {'asin': 'B0D26B164V', 'price': '$34.99'}}]",False,,,"['https://m.media-amazon.com/images/I/81d+DvqlVHL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71X7N4dDlyL._SL1500_.jpg']",0,CDs & Vinyl > Rock,https://www.amazon.com/-/dp/B0D26B164V?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Audio CD,,,,"{'Language': 'English', 'Product Dimensions': '5.4 x 4.8 x 0.3 inches; 2.4 ounces', 'Manufacturer': 'Legacy Recordings', 'Original Release Date': '2024', 'Run time': '1 hour and 1 minute', 'Date First Available': 'April 24, 2024', 'Label': 'Legacy Recordings', 'ASIN': 'B0D26B164V', 'Country of Origin': 'USA', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#3 in CDs & Vinyl , #1 in Rock (CDs & Vinyl)'}",B0D26B164V,[],{},new,"[{'title': 'Rattle That Lock', 'link': 'https://www.amazon.com/Rattle-That-Lock-David-Gilmour/dp/B011J4O3RG/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=76PiB&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=ZYSTRMXQFBWPDF3XHA1A&pd_rd_wg=bO6L9&pd_rd_r=961885a0-0d7e-41f4-a669-0da882eec644&pd_rd_i=B011J4O3RG&psc=1', 'price': '$13.98'}, {'title': 'On An Island', 'link': 'https://www.amazon.com/Island-David-Gilmour/dp/B000E6UK5K/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=76PiB&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=ZYSTRMXQFBWPDF3XHA1A&pd_rd_wg=bO6L9&pd_rd_r=961885a0-0d7e-41f4-a669-0da882eec644&pd_rd_i=B000E6UK5K&psc=1', 'price': '$12.62'}]","[{'badge': ""Amazon's Choice"", 'badge_text': None}]",76%,13%,5%,2%,3%
B0D5ZBNJ5T,SUPERCHARGED,The Offspring,$14.98,,8,4.8,Amazon.com,,In Stock,,,True,The Offspring,"[{'Streaming': {'asin': 'B0D5ZBNJ5T', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0D5ZBNJ5T', 'price': '$9.49'}}, {'Audio CD': {'asin': 'B0D5ZBNJ5T', 'price': '$14.98'}}, {'Vinyl': {'asin': 'B0D5ZBNJ5T', 'price': '$24.98'}}]",True,,,"['https://m.media-amazon.com/images/I/71p2j1hgCcL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/91-ovMAz+TL._SL1500_.jpg']",0,CDs & Vinyl > Rock,https://www.amazon.com/-/dp/B0D5ZBNJ5T?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Audio CD,,,,"{'Language': 'English', 'Product Dimensions': '5.59 x 4.88 x 0.16 inches; 1.76 ounces', 'Manufacturer': 'Concord Records', 'Original Release Date': '2024', 'Date First Available': 'June 7, 2024', 'Label': 'Concord Records', 'ASIN': 'B0D5ZBNJ5T', 'Country of Origin': 'USA', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#21 in CDs & Vinyl , #6 in Rock (CDs & Vinyl)'}",B0D5ZBNJ5T,[],{},new,"[{'title': 'The Art Of Letting Go', 'link': 'https://www.amazon.com/Art-Letting-Go-Myles-Kennedy/dp/B0D6G26SX6/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=qrvAj&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=7M3RDVT9R67DEYSJJ8FB&pd_rd_wg=Te8im&pd_rd_r=6870dc31-427f-4a36-8c1d-fcb9f3fb4358&pd_rd_i=B0D6G26SX6&psc=1', 'price': '$16.98'}, {'title': 'The Surface Seems So Far', 'link': 'https://www.amazon.com/Surface-Seems-So-Far/dp/B0D8VDHZ7T/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=qrvAj&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=7M3RDVT9R67DEYSJJ8FB&pd_rd_wg=Te8im&pd_rd_r=6870dc31-427f-4a36-8c1d-fcb9f3fb4358&pd_rd_i=B0D8VDHZ7T&psc=1', 'price': '$14.98'}]",[],75%,25%,0%,0%,0%
B0DFMQHXK5,Beautifully Broken [Silver Nugget LP] [Amazon Exclusive],,$23.98,,19,3.7,Amazon.com,,In Stock,,,True,Jelly Roll (Artist),"[{'Streaming': {'asin': 'B0DFMQHXK5', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0DFMQHXK5', 'price': '$4.99'}}, {'Audio CD': {'asin': 'B0DFMQHXK5', 'price': '$12.99'}}, {'Vinyl': {'asin': 'B0DFMQHXK5', 'price': '$23.98'}}]",False,,,['https://m.media-amazon.com/images/I/71ad3IJ6NEL._SL1500_.jpg'],0,CDs & Vinyl > Country,https://www.amazon.com/-/dp/B0DFMQHXK5?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Vinyl,,,,"{'Language': 'English', 'Package Dimensions': '15.04 x 12.76 x 0.71 inches; 1.07 Pounds', 'Manufacturer': 'Republic Records', 'Date First Available': 'August 29, 2024', 'Label': 'Republic Records', 'ASIN': 'B0DFMQHXK5', 'Country of Origin': 'USA', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#14 in CDs & Vinyl , #4 in Country (CDs & Vinyl)'}",B0DFMQHXK5,[],{},new,"[{'title': 'Whitsitt Chapel', 'link': 'https://www.amazon.com/Whitsitt-Chapel-Jelly-Roll/dp/B0BYM6WV9N/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=j76zm&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=19JBVW056CQM57915PJW&pd_rd_wg=CLQcP&pd_rd_r=b5058a69-6803-452e-8128-3d5fdefb1e8d&pd_rd_i=B0BYM6WV9N&psc=1', 'price': '$21.98'}, {'title': 'Ballads of the Broken Opaque Apple', 'link': 'https://www.amazon.com/Ballads-Broken-Opaque-Apple-Vinyl/dp/B0B2F94Z8M/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=j76zm&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=19JBVW056CQM57915PJW&pd_rd_wg=CLQcP&pd_rd_r=b5058a69-6803-452e-8128-3d5fdefb1e8d&pd_rd_i=B0B2F94Z8M&psc=1', 'price': '$22.98'}]",[],51%,11%,12%,7%,17%
B0C8XZXSWQ,I've Tried Everything But Therapy Part 1,,$10.97,$13.98,"2,679",4.8,Amazon.com,,In Stock,,,True,Teddy Swims (Artist),"[{'Streaming': {'asin': 'B0C8XZXSWQ', 'price': 'Unlimited'}}, {'MP3': {'asin': 'B0C8XZXSWQ', 'price': '$9.49'}}, {'Audio CD': {'asin': 'B0C8XZXSWQ', 'price': '$10.97'}}, {'Vinyl': {'asin': 'B0C8XZXSWQ', 'price': '$23.99'}}, {'Audio, Cassette': {'asin': 'B0C8XZXSWQ', 'price': '$10.97'}}]",True,,,['https://m.media-amazon.com/images/I/A1ujAFY3RgL._SL1500_.jpg'],0,CDs & Vinyl > Pop,https://www.amazon.com/-/dp/B0C8XZXSWQ?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Audio CD,,,,"{'Language': 'Unknown', 'Product Dimensions': '0.39 x 4.92 x 5.59 inches; 3.21 ounces', 'Manufacturer': 'Warner Records', 'Original Release Date': '2023', 'Date First Available': 'June 22, 2023', 'Label': 'Warner Records', 'ASIN': 'B0C8XZXSWQ', 'Country of Origin': 'USA', 'Number of discs': '1', 'Amazon Best Sellers Rank': '#6 in CDs & Vinyl , #4 in Pop (CDs & Vinyl)'}",B0C8XZXSWQ,[],{},new,"[{'title': 'Tough Love', 'link': 'https://www.amazon.com/Tough-Love-Teddy-Swims/dp/B09N98KQMP/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=6q4rR&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=PMTRCKTMKK2KN0914WSN&pd_rd_wg=kpxSm&pd_rd_r=7b6ccc56-33d5-47ef-abd3-f0579689c599&pd_rd_i=B09N98KQMP&psc=1', 'price': '$9.98'}, {'title': 'Unlearning', 'link': 'https://www.amazon.com/Unlearning-Teddy-Swims/dp/B096TRTRVR/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=6q4rR&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=PMTRCKTMKK2KN0914WSN&pd_rd_wg=kpxSm&pd_rd_r=7b6ccc56-33d5-47ef-abd3-f0579689c599&pd_rd_i=B096TRTRVR&psc=1', 'price': '$9.98'}]","[{'badge': ""Amazon's Choice"", 'badge_text': None}]",88%,7%,3%,1%,1%
